"","name","category_list","market","funding_total_usd","status","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","first_funding_day","first_funding_month","first_funding_year","last_funding_day","last_funding_month","last_funding_year","post_success"
"22542","Sim Ops Studios","|Curated Web|","Curated Web",3427334,"closed","PA","Pittsburgh","Pittsburgh",2,"1","1","Q1","2006",0,698866,0,0,2728468,0,0,0,0,0,0,0,0,698866,0,0,0,0,0,0,0,"26","3","2009","10","2","2010","0"
"22543","SIM Partners","|Web CMS|Technology|Services|SaaS|Social Media Marketing|Mobile|Local Search|Search|","Search",8e+06,"operating","IL","Chicago","Chicago",1,"14","2","Q1","2006",0,8e+06,0,0,0,0,0,0,0,0,0,0,0,8e+06,0,0,0,0,0,0,0,"17","6","2014","17","6","2014","0"
"22544","Simbionix","|Medical Devices|Health and Wellness|","Medical Devices",7e+06,"acquired","OH","Cleveland","Cleveland",1,"1","1","Q1","1997",0,7e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,7e+06,0,0,0,0,0,"12","11","2008","12","11","2008","1"
"22546","SimGym","|Fitness|iPhone|Health and Wellness|","Health and Wellness",6500,"closed","KY","KY - Other","Bowling Green",1,"5","6","Q2","2009",0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","6","2009","1","6","2009","0"
"22547","Siminars","|Publishing|Networking|Education|Curated Web|","Curated Web",75000,"operating","TX","Austin","Austin",1,"1","9","Q3","2009",75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6","1","2014","6","1","2014","0"
"22548","Simio","|Software|","Software",2376769,"operating","PA","Pittsburgh","Sewickley",3,"1","1","Q1","2007",6e+05,1776769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25","2","2010","28","10","2011","0"
"22551","Simpirica Spine","|Health Care|","Health Care",2.7e+07,"operating","CA","SF Bay Area","San Carlos",2,"1","1","Q1","2006",0,2.2e+07,0,0,0,5e+06,0,0,0,0,0,0,0,0,0,2.2e+07,0,0,0,0,0,"20","9","2011","22","1","2014","0"
"22552","Simple","|Finance|Banking|Enterprise Software|","Finance",15290000,"acquired","OR","Portland, Oregon","Portland",4,"1","1","Q1","2009",190000,15100000,0,0,0,0,0,0,0,0,0,0,0,2900000,1e+07,2200000,0,0,0,0,0,"1","11","2009","11","6","2013","1"
"22553","Simple Admit","|Health and Wellness|","Health and Wellness",610000,"operating","NY","Syracuse","Baldwinsville",1,"1","1","Q1","2010",0,610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10","12","2013","10","12","2013","0"
"22557","Simple Energy","|Finance|Networking|Facebook Applications|Internet|Green|Energy Efficiency|Clean Energy|Clean Technology|Analytics|","Green",8916500,"operating","CO","Denver","Boulder",4,"24","1","Q1","2011",9e+05,8016500,0,0,0,0,0,0,0,0,0,0,0,2016500,6e+06,0,0,0,0,0,0,"1","8","2011","27","1","2014","0"
"22560","Simple-Fill","|Oil & Gas|","Oil & Gas",170000,"operating","OH","Columbus, Ohio","Columbus",2,"1","1","Q1","2013",0,0,0,0,0,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22","1","2014","26","8","2014","0"
"22561","Simple.TV","|Consumer Electronics|Television|Hardware + Software|","Hardware + Software",5700000,"operating","CA","SF Bay Area","Belvedere Tiburon",1,"10","5","Q2","2011",0,5700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","4","2013","2","4","2013","0"
"22562","SimpleDeal","|Apps|Mobile|","Mobile",102500,"operating","CA","Orange County, California","Seal Beach",3,"31","7","Q3","2013",72500,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27","11","2013","3","7","2014","0"
"22563","Simplee","|Health Care Information Technology|SaaS|Cloud Computing|Billing|Mobile Payments|Payments|Health Care|","Health Care Information Technology",17800000,"operating","CA","SF Bay Area","Palo Alto",3,"1","1","Q1","2010",1800000,1.6e+07,0,0,0,0,0,0,0,0,0,0,0,6e+06,1e+07,0,0,0,0,0,0,"1","4","2011","24","9","2013","0"
"22564","SimpleGeo","|Developer APIs|Location Based Services|Advertising|","Advertising",9807367,"acquired","CA","SF Bay Area","San Francisco",3,"1","5","Q2","2009",1472367,8140000,0,0,0,195000,0,0,0,0,0,0,0,8140000,0,0,0,0,0,0,0,"10","11","2009","18","5","2010","1"
"22569","SimpleReach","|Marketing Automation|","Marketing Automation",10600000,"operating","NY","New York City","New York",3,"1","1","Q1","2010",1600000,9e+06,0,0,0,0,0,0,0,0,0,0,0,9e+06,0,0,0,0,0,0,0,"1","10","2011","22","7","2014","0"
"22570","SimpleRegistry","|Registrars|Curated Web|","Registrars",3e+05,"operating","OH","Cincinnati","Cincinnati",1,"1","1","Q1","2011",3e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23","3","2012","23","3","2012","0"
"22571","SimpleRelevance","|E-Commerce|Email Marketing|Personalization|Email|Finance|Software|","Email",1268000,"operating","IL","Chicago","Chicago",3,"7","1","Q1","2012",518000,750000,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,"1","3","2012","28","5","2013","0"
"22572","SIMPLEROBB.COM","|Curated Web|","Curated Web",5600,"operating","NY","NY - Other","Rosedale",1,"23","8","Q3","2008",0,0,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23","8","2008","23","8","2008","0"
"22573","SimpleTherapy","|Health Care|","Health Care",1300000,"operating","NY","New York City","New York",1,"1","1","Q1","2013",0,0,0,0,0,0,1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","10","2013","1","10","2013","0"
"22574","SimpleTuition","|Education|Finance|","Education",26900000,"operating","MA","Boston","Boston",5,"1","1","Q1","2006",0,21900000,0,0,0,5e+06,0,0,0,0,0,0,0,4400000,7500000,6e+06,4e+06,0,0,0,0,"14","4","2006","16","5","2013","0"
"22577","Simpli.fi","|Auctions|Search|SEO|Semantic Search|Advertising|","Search",22837902,"operating","TX","Dallas","Fort Worth",5,"1","1","Q1","2010",0,20037902,0,0,0,5e+05,2300000,0,0,0,0,0,0,0,1.6e+07,0,0,0,0,0,0,"25","5","2010","12","12","2013","0"
"22579","Simplify","|Transaction Processing|Marketplaces|Finance|Hedge Funds|Software|","Hedge Funds",1580000,"operating","NY","New York City","New York",3,"1","6","Q2","2010",1580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6","12","2012","30","5","2013","0"
